nombre,esVIP
imagen1,true
imagen2,false
imagen3,false
imagen4,true
imagen5,false
imagen6,false
imagen7,true
imagen8,true
imagen9,false
imagen10,true
imagen11,false
imagen12,false
imagen13,true
imagen14,true
imagen15,false
imagen16,true
imagen17,false
imagen18,false
imagen19,true
imagen20,false
imagen21,true
imagen22,false
imagen23,true
imagen24,false
imagen25,false
imagen26,true
imagen27,true
imagen28,false
imagen29,false
imagen30,true
imagen31,false
imagen32,false
imagen33,true
imagen34,false
imagen35,true
imagen36,false
imagen37,true
imagen38,false
imagen39,true
imagen40,false
imagen41,true
imagen42,false
imagen43,true
imagen44,false
imagen45,false
imagen46,true
imagen47,false
imagen48,true
imagen49,false
imagen50,true
imagen51,false
imagen52,true
imagen53,false
imagen54,true
imagen55,false
imagen56,true
imagen57,false
imagen58,true
imagen59,false
imagen60,true
imagen61,false
imagen62,true
imagen63,false
imagen64,true
imagen65,false
imagen66,true
imagen67,false
imagen68,true
imagen69,false
imagen70,true
imagen71,false
imagen72,true
imagen73,false
imagen74,true
imagen75,false
imagen76,true
imagen77,false
imagen78,true
imagen79,false
imagen80,true
imagen81,false
imagen82,true
imagen83,false
imagen84,true
imagen85,false
imagen86,true
imagen87,false
imagen88,true
imagen89,false
imagen90,true
imagen91,false
imagen92,true
imagen93,false
imagen94,true
imagen95,false
imagen96,true
imagen97,false
imagen98,true
imagen99,false
imagen100,true
